brand,price,rating,RAM_GB,ROM_GB,Expandable_GB,Rear_MP,Battery_mAh
REDMI,17196,4.2,8.0,128.0,0.0,50.0,5110.0
NOTHING,20999,4.8,8.0,128.0,0.0,50.0,5000.0
NOTHING,22999,4.8,8.0,256.0,0.0,50.0,5000.0
REDMI,5999,4.0,3.0,64.0,1024.0,8.0,5000.0
VIVO,29999,4.4,8.0,128.0,0.0,200.0,6500.0
VIVO,31999,4.4,8.0,256.0,0.0,200.0,6500.0
KECHAODA,898,4.0,,,0.0,,3.0
POCO,31999,4.3,12.0,256.0,0.0,50.0,5000.0
VIVO,10499,4.4,4.0,128.0,1024.0,50.0,5000.0
MOTOROLA,1299,4.1,,,0.0,3.0,1000.0
REALME,41990,4.3,12.0,512.0,0.0,50.0,7000.0
INFINIX,19499,4.5,8.0,128.0,0.0,64.0,5500.0
REDMI,10199,4.2,6.0,128.0,0.0,50.0,5160.0
LAVA,975,4.1,,,0.0,0.0,800.0
REALME,29999,4.4,12.0,256.0,0.0,50.0,7000.0
VIVO,33999,4.4,12.0,256.0,0.0,200.0,6500.0
REALME,27999,4.4,8.0,256.0,0.0,50.0,7000.0
REALME,25999,4.4,8.0,128.0,0.0,50.0,7000.0
REALME,15499,4.5,4.0,,0.0,50.0,7000.0
REDMI,9990,4.2,6.0,128.0,1024.0,50.0,5000.0
KARBONN,1289,4.2,,,0.0,5.0,1750.0
REDMI,10999,4.1,4.0,128.0,1024.0,8.0,5000.0
APPLE,169900,4.7,,,0.0,48.0,19.0
KARBONN,1250,4.2,,,0.0,5.0,1750.0
APPLE,71999,4.6,,,0.0,48.0,18.0
OPPO,8999,4.1,4.0,64.0,1024.0,8.0,5100.0
VIVO,11499,4.3,4.0,128.0,2048.0,13.0,5500.0
HOTLINE,999,3.6,,,0.0,1.0,2500.0
NOKIA,1399,3.4,,,0.0,0.0,800.0
REALME,22999,4.3,8.0,128.0,0.0,50.0,7000.0
